id_jogo;time_a;time_b;tempo_gol;time_gol;placar_time_a;placar_time_b
1;Vasco da Gama;Portuguesa;47;Vasco da Gama;1;0
2;Vitória;Internacional;2;Vitória;1;0
2;Vitória;Internacional;11;Vitória;2;0
2;Vitória;Internacional;29;Internacional;2;1
2;Vitória;Internacional;63;Internacional;2;2
3;Corinthians;Botafogo;24;Botafogo;0;1
3;Corinthians;Botafogo;73;Corinthians;1;1
4;Grêmio;Náutico;15;Grêmio;1;0
4;Grêmio;Náutico;70;Grêmio;2;0
5;Ponte Preta;São Paulo;9;São Paulo;0;1
5;Ponte Preta;São Paulo;44;São Paulo;0;2
6;Criciúma;Bahia;45;Criciúma;1;0
6;Criciúma;Bahia;46;Criciúma;2;0
6;Criciúma;Bahia;72;Bahia;2;1
6;Criciúma;Bahia;82;Criciúma;3;1
7;Santos;Flamengo;None;None;0;0
8;Fluminense;Atlético/PR;15;Fluminense;1;0
8;Fluminense;Atlético/PR;28;Atlético/PR;1;1
8;Fluminense;Atlético/PR;53;Fluminense;2;1
9;Cruzeiro;Goiás;5;Cruzeiro;1;0
9;Cruzeiro;Goiás;30;Cruzeiro;2;0
9;Cruzeiro;Goiás;40;Cruzeiro;3;0
9;Cruzeiro;Goiás;42;Cruzeiro;4;0
9;Cruzeiro;Goiás;79;Cruzeiro;5;0
10;Coritiba;Atlético/MG;51;Atlético/MG;0;1
10;Coritiba;Atlético/MG;53;Coritiba;1;1
10;Coritiba;Atlético/MG;90;Coritiba;2;1
11;Botafogo;Santos;14;Botafogo;1;0
11;Botafogo;Santos;21;Botafogo;2;0
11;Botafogo;Santos;74;Santos;2;1
12;Atlético/PR;Cruzeiro;6;Atlético/PR;1;0
12;Atlético/PR;Cruzeiro;28;Atlético/PR;2;0
12;Atlético/PR;Cruzeiro;43;Cruzeiro;2;1
12;Atlético/PR;Cruzeiro;46;Cruzeiro;2;2
13;Náutico;Vitória;12;Vitória;0;1
13;Náutico;Vitória;45;Vitória;0;2
13;Náutico;Vitória;49;Vitória;0;3
14;Bahia;Coritiba;None;None;0;0
15;Flamengo;Ponte Preta;25;Ponte Preta;0;1
15;Flamengo;Ponte Preta;73;Ponte Preta;0;2
16;Goiás;Corinthians;37;Goiás;1;0
16;Goiás;Corinthians;86;Corinthians;1;1
17;São Paulo;Vasco da Gama;60;São Paulo;1;0
17;São Paulo;Vasco da Gama;68;São Paulo;2;0
17;São Paulo;Vasco da Gama;72;São Paulo;3;0
17;São Paulo;Vasco da Gama;74;São Paulo;4;0
17;São Paulo;Vasco da Gama;82;Vasco da Gama;4;1
17;São Paulo;Vasco da Gama;84;São Paulo;5;1
18;Internacional;Criciúma;13;Internacional;1;0
18;Internacional;Criciúma;16;Internacional;2;0
19;Atlético/MG;Grêmio;59;Atlético/MG;1;0
19;Atlético/MG;Grêmio;90;Atlético/MG;2;0
20;Portuguesa;Fluminense;22;Portuguesa;1;0
20;Portuguesa;Fluminense;37;Fluminense;1;1
20;Portuguesa;Fluminense;82;Portuguesa;2;1
21;Botafogo;Cruzeiro;6;Botafogo;1;0
21;Botafogo;Cruzeiro;24;Cruzeiro;1;1
21;Botafogo;Cruzeiro;56;Botafogo;2;1
22;Atlético/PR;Flamengo;32;Atlético/PR;1;0
22;Atlético/PR;Flamengo;71;Atlético/PR;2;0
22;Atlético/PR;Flamengo;77;Flamengo;2;1
22;Atlético/PR;Flamengo;80;Flamengo;2;2
23;Vitória;Vasco da Gama;31;Vitória;1;0
23;Vitória;Vasco da Gama;58;Vitória;2;0
24;Goiás;Coritiba;33;Coritiba;0;1
24;Goiás;Coritiba;75;Goiás;1;1
25;Santos;Grêmio;11;Grêmio;0;1
25;Santos;Grêmio;78;Santos;1;1
26;Corinthians;Ponte Preta;73;Corinthians;1;0
27;Atlético/MG;São Paulo;None;None;0;0
28;Fluminense;Criciúma;25;Fluminense;1;0
28;Fluminense;Criciúma;33;Fluminense;2;0
28;Fluminense;Criciúma;80;Fluminense;3;0
29;Internacional;Bahia;9;Bahia;0;1
29;Internacional;Bahia;61;Bahia;0;2
29;Internacional;Bahia;64;Internacional;1;2
30;Náutico;Portuguesa;15;Náutico;1;0
30;Náutico;Portuguesa;31;Portuguesa;1;1
30;Náutico;Portuguesa;81;Portuguesa;1;2
30;Náutico;Portuguesa;90;Náutico;2;2
31;São Paulo;Goiás;2;Goiás;0;1
32;Criciúma;Santos;14;Criciúma;1;0
32;Criciúma;Santos;56;Criciúma;2;0
32;Criciúma;Santos;65;Criciúma;3;0
32;Criciúma;Santos;90;Santos;3;1
33;Portuguesa;Internacional;24;Internacional;0;1
33;Portuguesa;Internacional;54;Portuguesa;1;1
34;Ponte Preta;Atlético/PR;23;Ponte Preta;1;0
34;Ponte Preta;Atlético/PR;35;Atlético/PR;1;1
34;Ponte Preta;Atlético/PR;46;Ponte Preta;2;1
34;Ponte Preta;Atlético/PR;56;Atlético/PR;2;2
34;Ponte Preta;Atlético/PR;63;Atlético/PR;2;3
34;Ponte Preta;Atlético/PR;85;Ponte Preta;3;3
34;Ponte Preta;Atlético/PR;90;Atlético/PR;3;4
35;Vasco da Gama;Atlético/MG;69;Vasco da Gama;1;0
35;Vasco da Gama;Atlético/MG;90;Vasco da Gama;2;0
36;Grêmio;Vitória;69;Grêmio;1;0
37;Bahia;Botafogo;7;Botafogo;0;1
37;Bahia;Botafogo;39;Bahia;1;1
37;Bahia;Botafogo;68;Bahia;2;1
38;Flamengo;Náutico;83;Náutico;0;1
39;Cruzeiro;Corinthians;83;Cruzeiro;1;0
40;Coritiba;Fluminense;15;Coritiba;1;0
40;Coritiba;Fluminense;22;Fluminense;1;1
40;Coritiba;Fluminense;87;Coritiba;2;1
41;Criciúma;Flamengo;37;Flamengo;0;1
41;Criciúma;Flamengo;52;Flamengo;0;2
41;Criciúma;Flamengo;78;Flamengo;0;3
42;Cruzeiro;Internacional;23;Internacional;0;1
42;Cruzeiro;Internacional;37;Cruzeiro;1;1
42;Cruzeiro;Internacional;52;Cruzeiro;2;1
42;Cruzeiro;Internacional;73;Internacional;2;2
43;Corinthians;Portuguesa;None;None;0;0
44;Vasco da Gama;Bahia;7;Bahia;0;1
44;Vasco da Gama;Bahia;21;Vasco da Gama;1;1
45;Ponte Preta;Botafogo;31;Botafogo;0;1
45;Ponte Preta;Botafogo;35;Botafogo;0;2
46;Vitória;Atlético/PR;27;Vitória;1;0
46;Vitória;Atlético/PR;29;Atlético/PR;1;1
46;Vitória;Atlético/PR;35;Vitória;2;1
46;Vitória;Atlético/PR;80;Atlético/PR;2;2
46;Vitória;Atlético/PR;86;Vitória;3;2
47;Fluminense;Goiás;70;Goiás;0;1
47;Fluminense;Goiás;82;Fluminense;1;1
47;Fluminense;Goiás;86;Fluminense;2;1
48;Coritiba;Náutico;1;Coritiba;1;0
49;Grêmio;São Paulo;41;São Paulo;0;1
49;Grêmio;São Paulo;86;Grêmio;1;1
50;Santos;Atlético/MG;3;Santos;1;0
51;Flamengo;Coritiba;8;Flamengo;1;0
51;Flamengo;Coritiba;48;Flamengo;2;0
51;Flamengo;Coritiba;52;Coritiba;2;1
51;Flamengo;Coritiba;60;Coritiba;2;2
52;Atlético/PR;Grêmio;78;Atlético/PR;1;0
52;Atlético/PR;Grêmio;83;Grêmio;1;1
53;Náutico;Ponte Preta;10;Ponte Preta;0;1
53;Náutico;Ponte Preta;43;Ponte Preta;0;2
53;Náutico;Ponte Preta;56;Ponte Preta;0;3
53;Náutico;Ponte Preta;72;Náutico;1;3
54;Portuguesa;Cruzeiro;4;Portuguesa;1;0
54;Portuguesa;Cruzeiro;17;Cruzeiro;1;1
55;Goiás;Vitória;52;Goiás;1;0
56;São Paulo;Santos;57;Santos;0;1
56;São Paulo;Santos;82;Santos;0;2
57;Bahia;Corinthians;33;Corinthians;0;1
57;Bahia;Corinthians;42;Corinthians;0;2
58;Internacional;Vasco da Gama;16;Internacional;1;0
58;Internacional;Vasco da Gama;38;Internacional;2;0
58;Internacional;Vasco da Gama;45;Vasco da Gama;2;1
58;Internacional;Vasco da Gama;55;Internacional;3;1
58;Internacional;Vasco da Gama;63;Vasco da Gama;3;2
58;Internacional;Vasco da Gama;71;Internacional;4;2
58;Internacional;Vasco da Gama;75;Internacional;5;2
58;Internacional;Vasco da Gama;83;Vasco da Gama;5;3
59;Botafogo;Fluminense;84;Botafogo;1;0
60;Atlético/MG;Criciúma;10;Atlético/MG;1;0
60;Atlético/MG;Criciúma;25;Criciúma;1;1
60;Atlético/MG;Criciúma;47;Atlético/MG;2;1
60;Atlético/MG;Criciúma;82;Atlético/MG;3;1
60;Atlético/MG;Criciúma;90;Criciúma;3;2
61;Santos;Portuguesa;1;Santos;1;0
61;Santos;Portuguesa;10;Santos;2;0
61;Santos;Portuguesa;75;Santos;3;0
61;Santos;Portuguesa;87;Portuguesa;3;1
61;Santos;Portuguesa;90;Santos;4;1
62;Fluminense;Internacional;19;Internacional;0;1
62;Fluminense;Internacional;33;Internacional;0;2
62;Fluminense;Internacional;35;Fluminense;1;2
62;Fluminense;Internacional;40;Internacional;1;3
62;Fluminense;Internacional;52;Fluminense;2;3
63;Ponte Preta;Bahia;None;None;0;0
64;Vitória;São Paulo;9;São Paulo;0;1
64;Vitória;São Paulo;20;Vitória;1;1
64;Vitória;São Paulo;28;Vitória;2;1
64;Vitória;São Paulo;35;São Paulo;2;2
64;Vitória;São Paulo;56;Vitória;3;2
65;Grêmio;Botafogo;12;Grêmio;1;0
65;Grêmio;Botafogo;19;Botafogo;1;1
65;Grêmio;Botafogo;33;Grêmio;2;1
66;Coritiba;Atlético/PR;56;Coritiba;1;0
67;Corinthians;Atlético/MG;35;Atlético/MG;0;1
68;Cruzeiro;Náutico;9;Cruzeiro;1;0
68;Cruzeiro;Náutico;53;Cruzeiro;2;0
68;Cruzeiro;Náutico;69;Cruzeiro;3;0
69;Vasco da Gama;Flamengo;29;Flamengo;0;1
70;Criciúma;Goiás;None;None;0;0
71;Criciúma;Grêmio;25;Criciúma;1;0
71;Criciúma;Grêmio;37;Grêmio;1;1
71;Criciúma;Grêmio;74;Criciúma;2;1
72;São Paulo;Cruzeiro;51;Cruzeiro;0;1
72;São Paulo;Cruzeiro;78;Cruzeiro;0;2
72;São Paulo;Cruzeiro;81;Cruzeiro;0;3
73;Botafogo;Náutico;49;Botafogo;1;0
73;Botafogo;Náutico;77;Botafogo;2;0
74;Santos;Coritiba;20;Santos;1;0
74;Santos;Coritiba;40;Coritiba;1;1
74;Santos;Coritiba;64;Santos;2;1
74;Santos;Coritiba;87;Coritiba;2;2
75;Vitória;Bahia;None;None;0;0
76;Atlético/PR;Corinthians;5;Atlético/PR;1;0
76;Atlético/PR;Corinthians;25;Corinthians;1;1
77;Internacional;Flamengo;90;Internacional;1;0
78;Fluminense;Vasco da Gama;16;Vasco da Gama;0;1
78;Fluminense;Vasco da Gama;46;Vasco da Gama;0;2
78;Fluminense;Vasco da Gama;55;Fluminense;1;2
78;Fluminense;Vasco da Gama;81;Vasco da Gama;1;3
79;Goiás;Portuguesa;39;Portuguesa;0;1
79;Goiás;Portuguesa;44;Goiás;1;1
79;Goiás;Portuguesa;65;Goiás;2;1
80;Atlético/MG;Ponte Preta;6;Atlético/MG;1;0
80;Atlético/MG;Ponte Preta;23;Atlético/MG;2;0
80;Atlético/MG;Ponte Preta;71;Atlético/MG;3;0
80;Atlético/MG;Ponte Preta;83;Atlético/MG;4;0
81;Vasco da Gama;Criciúma;8;Vasco da Gama;1;0
81;Vasco da Gama;Criciúma;55;Vasco da Gama;2;0
81;Vasco da Gama;Criciúma;61;Criciúma;2;1
