Times;Público
Botafogo;0
Botafogo;5541
Botafogo;14456
Botafogo;9539
Botafogo;17774
Botafogo;13268
Botafogo;16280
Botafogo;18728
Botafogo;13080
Botafogo;8522
Botafogo;12685
Botafogo;11362
Botafogo;0
Botafogo;7258
Botafogo;10193
Botafogo;11569
Botafogo;15921
Flamengo;9047
Flamengo;9707
Flamengo;13657
Flamengo;15711
Flamengo;39211
Flamengo;40694
Flamengo;40036
Flamengo;18945
Flamengo;16985
Flamengo;12250
Flamengo;23385
Flamengo;26411
Flamengo;30963
Flamengo;24542
Flamengo;14484
Flamengo;47139
Flamengo;55025
Fluminense;7057
Fluminense;7666
Fluminense;15355
Fluminense;11773
Fluminense;17071
Fluminense;17259
Fluminense;22042
Fluminense;22993
Fluminense;11569
Fluminense;12644
Fluminense;17637
Fluminense;18490
Fluminense;16351
Fluminense;9139
Fluminense;14450
Fluminense;14458
Fluminense;20209
Vasco;4933
Vasco;4770
Vasco;16938
Vasco;13450
Vasco;15143
Vasco;13723
Vasco;0
Vasco;13697
Vasco;13866
Vasco;7559
Vasco;17618
Vasco;0
Vasco;12875
Vasco;0
Vasco;15031
Vasco;14880
Vasco;20448
Corinthians;8541
Corinthians;13527
Corinthians;27319
Corinthians;15691
Corinthians;19978
Corinthians;0
Corinthians;20213
Corinthians;27446
Corinthians;29424
Corinthians;25222
Corinthians;24441
Corinthians;28960
Corinthians;34150
Corinthians;28764
Corinthians;40007
Corinthians;31367
Corinthians;32855
Palmeiras;0
Palmeiras;12791
Palmeiras;14085
Palmeiras;12748
Palmeiras;17586
Palmeiras;16877
Palmeiras;18425
Palmeiras;10971
Palmeiras;12586
Palmeiras;11983
Palmeiras;0
Palmeiras;19755
Palmeiras;29633
Palmeiras;32471
Palmeiras;29672
Palmeiras;32356
Palmeiras;27994
Ponte Preta;4953
Ponte Preta;3826
Ponte Preta;5807
Ponte Preta;5706
Ponte Preta;0
Ponte Preta;0
Ponte Preta;0
Ponte Preta;0
Ponte Preta;0
Ponte Preta;6238
Ponte Preta;6414
Ponte Preta;0
Ponte Preta;6225
Ponte Preta;5309
Ponte Preta;6083
Ponte Preta;0
Ponte Preta;0
Santos;7735
Santos;12870
Santos;9611
Santos;9699
Santos;8424
Santos;9803
Santos;9242
Santos;9200
Santos;8892
Santos;8101
Santos;10405
Santos;9243
Santos;8691
Santos;11225
Santos;11597
Santos;10575
Santos;10306
São Paulo;10960
São Paulo;8586
São Paulo;9805
São Paulo;22949
São Paulo;28622
São Paulo;21331
São Paulo;26305
São Paulo;14704
São Paulo;21485
São Paulo;24298
São Paulo;23115
São Paulo;28544
São Paulo;20562
São Paulo;22513
São Paulo;35227
São Paulo;34320
São Paulo;29431
Atlético MG;12970
Atlético MG;10538
Atlético MG;21725
Atlético MG;0
Atlético MG;23199
Atlético MG;18638
Atlético MG;38761
Atlético MG;13447
Atlético MG;14100
Atlético MG;18274
Atlético MG;11436
Atlético MG;14132
Atlético MG;23353
Atlético MG;18510
Atlético MG;13157
Atlético MG;17177
Atlético MG;15255
Cruzeiro;26109
Cruzeiro;6074
Cruzeiro;15753
Cruzeiro;15239
Cruzeiro;23504
Cruzeiro;24245
Cruzeiro;21973
Cruzeiro;16072
Cruzeiro;10377
Cruzeiro;11677
Cruzeiro;28911
Cruzeiro;29678
Cruzeiro;22077
Cruzeiro;20475
Cruzeiro;14547
Cruzeiro;13534
Cruzeiro;22438
Grêmio;10510
Grêmio;7432
Grêmio;0
Grêmio;25630
Grêmio;21937
Grêmio;31725
Grêmio;17776
Grêmio;20369
Grêmio;15809
Grêmio;23530
Grêmio;19764
Grêmio;21028
Grêmio;25249
Grêmio;20448
Grêmio;19730
Grêmio;22264
Grêmio;16647
Internacional;14937
Internacional;9363
Internacional;16237
Internacional;22084
Internacional;18335
Internacional;18641
Internacional;18323
Internacional;16630
Internacional;18188
Internacional;9270
Internacional;7234
Internacional;22318
Internacional;18979
Internacional;25422
Internacional;0
Internacional;27701
Internacional;19824
Juventude;4871
Juventude;5038
Juventude;5648
Juventude;4009
Juventude;6528
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Juventude;0
Bahia;13042
Bahia;0
Bahia;0
Bahia;0
Bahia;0
Bahia;0
Bahia;0
Bahia;0
Bahia;22741
Bahia;18891
Bahia;18449
Bahia;12579
Bahia;0
Bahia;0
Bahia;21540
Bahia;19315
Bahia;26338
Vitória;4918
Vitória;6388
Vitória;0
Vitória;0
Vitória;0
Vitória;15774
Vitória;13391
Vitória;15849
Vitória;0
Vitória;0
Vitória;14780
Vitória;10267
Vitória;0
Vitória;14009
Vitória;10911
Vitória;9181
Vitória;0
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;23467
Ceará;13449
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;0
Ceará;28078
Ceará;26011
Fortaleza;24351
Fortaleza;0
Fortaleza;23731
Fortaleza;11786
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;0
Fortaleza;32999
Sport;0
Sport;0
Sport;0
Sport;0
Sport;26070
Sport;21745
Sport;17896
Sport;0
Sport;0
Sport;17811
Sport;0
Sport;18220
Sport;15081
Sport;12823
Sport;12349
Sport;11428
Sport;0
Náutico;0
Náutico;0
Náutico;0
Náutico;0
Náutico;12912
Náutico;14894
Náutico;13863
Náutico;0
Náutico;0
Náutico;12894
Náutico;10262
Náutico;0
Náutico;0
Náutico;0
Náutico;0
Náutico;0
Náutico;0
Atlético PR;8984
Atlético PR;12979
Atlético PR;11620
Atlético PR;10505
Atlético PR;12508
Atlético PR;17092
Atlético PR;16280
Atlético PR;16377
Atlético PR;14115
Atlético PR;0
Atlético PR;8772
Atlético PR;12237
Atlético PR;16430
Atlético PR;15889
Atlético PR;13732
Atlético PR;10570
Atlético PR;15114
Coritiba;8515
Coritiba;7393
Coritiba;18688
Coritiba;0
Coritiba;0
Coritiba;19222
Coritiba;16817
Coritiba;0
Coritiba;17894
Coritiba;12568
Coritiba;14651
Coritiba;12329
Coritiba;14001
Coritiba;9893
Coritiba;14348
Coritiba;0
Coritiba;0
Paraná;4906
Paraná;4047
Paraná;11864
Paraná;10557
Paraná;8789
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;0
Paraná;6222
Paraná;0
Avaí;0
Avaí;0
Avaí;0
Avaí;0
Avaí;0
Avaí;0
Avaí;9983
Avaí;8535
Avaí;6784
Avaí;0
Avaí;0
Avaí;0
Avaí;8477
Avaí;0
Avaí;7568
Avaí;0
Avaí;7704
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;0
Chapecoense;10021
Chapecoense;9072
Chapecoense;7612
Chapecoense;9670
Chapecoense;9391
Chapecoense;6003
Figueirense;10418
Figueirense;10465
Figueirense;9279
Figueirense;10703
Figueirense;8903
Figueirense;9106
Figueirense;0
Figueirense;0
Figueirense;11625
Figueirense;7999
Figueirense;0
Figueirense;8378
Figueirense;8696
Figueirense;6628
Figueirense;0
Figueirense;0
Figueirense;0
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;6677
Atlético GO;9497
Atlético GO;5587
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;0
Atlético GO;5046
Atlético GO;0
Atlético GO;0
Goiás;13104
Goiás;9133
Goiás;12980
Goiás;10305
Goiás;14051
Goiás;8558
Goiás;11944
Goiás;7036
Goiás;0
Goiás;0
Goiás;12680
Goiás;6942
Goiás;8028
Goiás;0
Goiás;0
Goiás;0
Goiás;13506
