Data;Mandante;Visitante;Rodad;Publico
25/05/2013;Corinthians;Botafogo-RJ;1ª Rodada;29295
25/05/2013;Vitória;Internacional;1ª Rodada;8955
25/05/2013;Vasco;Portuguesa;1ª Rodada;8229
26/05/2013;Santos;Flamengo;1ª Rodada;63501
26/05/2013;Coritiba;Atlético-MG;1ª Rodada;14189
26/05/2013;Criciúma;Bahia;1ª Rodada;10355
26/05/2013;Cruzeiro;Goiás;1ª Rodada;12018
26/05/2013;Fluminense;Athlético-PR;1ª Rodada;2386
26/05/2013;Grêmio;Náutico;1ª Rodada;9560
26/05/2013;Ponte Preta;São Paulo;1ª Rodada;6267
29/05/2013;Goiás;Corinthians;2ª Rodada;31074
29/05/2013;Bahia;Coritiba;2ª Rodada;4874
29/05/2013;Athlético-PR;Cruzeiro;2ª Rodada;3366
29/05/2013;Botafogo-RJ;Santos;2ª Rodada;1186
29/05/2013;Flamengo;Ponte Preta;2ª Rodada;8932
29/05/2013;São Paulo;Vasco;2ª Rodada;8079
29/05/2013;Náutico;Vitória;2ª Rodada;10493
30/05/2013;Internacional;Criciúma;2ª Rodada;6883
01/06/2013;Goiás;Coritiba;3ª Rodada;5817
01/06/2013;Athlético-PR;Flamengo;3ª Rodada;8986
01/06/2013;Santos;Grêmio;3ª Rodada;6329
01/06/2013;Botafogo-RJ;Cruzeiro;3ª Rodada;2685
01/06/2013;Corinthians;Ponte Preta;3ª Rodada;24449
01/06/2013;Vitória;Vasco;3ª Rodada;11535
02/06/2013;Náutico;Portuguesa;3ª Rodada;12942
02/06/2013;Atlético-MG;São Paulo;3ª Rodada;10830
02/06/2013;Internacional;Bahia;3ª Rodada;4600
02/06/2013;Fluminense;Criciúma;3ª Rodada;1515
05/06/2013;Portuguesa;Internacional;4ª Rodada;2235
05/06/2013;Ponte Preta;Athlético-PR;4ª Rodada;3422
05/06/2013;Bahia;Botafogo-RJ;4ª Rodada;13759
05/06/2013;Criciúma;Santos;4ª Rodada;11392
05/06/2013;Cruzeiro;Corinthians;4ª Rodada;15082
05/06/2013;São Paulo;Goiás;4ª Rodada;8892
05/06/2013;Grêmio;Vitória;4ª Rodada;15655
05/06/2013;Flamengo;Náutico;4ª Rodada;5033
05/06/2013;Vasco;Atlético-MG;4ª Rodada;1601
06/06/2013;Coritiba;Fluminense;4ª Rodada;15554
08/06/2013;Vasco;Bahia;5ª Rodada;2623
08/06/2013;Cruzeiro;Internacional;5ª Rodada;15513
08/06/2013;Corinthians;Portuguesa;5ª Rodada;30785
08/06/2013;Ponte Preta;Botafogo-RJ;5ª Rodada;3473
08/06/2013;Criciúma;Flamengo;5ª Rodada;17785
09/06/2013;Atlético-MG;Grêmio;2ª Rodada;5753
09/06/2013;Coritiba;Náutico;5ª Rodada;16815
09/06/2013;Fluminense;Goiás;5ª Rodada;1700
09/06/2013;Vitória;Athlético-PR;5ª Rodada;2954
12/06/2013;Grêmio;São Paulo;5ª Rodada;15926
12/06/2013;Portuguesa;Fluminense;2ª Rodada;1182
12/06/2013;Santos;Atlético-MG;5ª Rodada;4178
06/07/2013;Flamengo;Coritiba;6ª Rodada;52825
06/07/2013;Portuguesa;Cruzeiro;6ª Rodada;2769
06/07/2013;Athlético-PR;Grêmio;6ª Rodada;7531
06/07/2013;Náutico;Ponte Preta;6ª Rodada;19601
07/07/2013;Atlético-MG;Criciúma;6ª Rodada;4815
07/07/2013;Botafogo-RJ;Fluminense;6ª Rodada;7882
07/07/2013;Bahia;Corinthians;6ª Rodada;23684
07/07/2013;Goiás;Vitória;6ª Rodada;4420
07/07/2013;Internacional;Vasco;6ª Rodada;2868
07/07/2013;São Paulo;Santos;6ª Rodada;11819
10/07/2013;São Paulo;Bahia;11ª Rodada;4579
13/07/2013;Ponte Preta;Bahia;7ª Rodada;3325
13/07/2013;Fluminense;Internacional;7ª Rodada;4114
13/07/2013;Santos;Portuguesa;7ª Rodada;5860
14/07/2013;Criciúma;Goiás;7ª Rodada;9272
14/07/2013;Corinthians;Atlético-MG;7ª Rodada;32787
14/07/2013;Coritiba;Athlético-PR;7ª Rodada;19902
14/07/2013;Cruzeiro;Náutico;7ª Rodada;15528
14/07/2013;Vasco;Flamengo;7ª Rodada;61767
14/07/2013;Grêmio;Botafogo-RJ;7ª Rodada;28014
14/07/2013;Vitória;São Paulo;7ª Rodada;11227
20/07/2013;Botafogo-RJ;Náutico;8ª Rodada;5017
20/07/2013;Criciúma;Grêmio;8ª Rodada;12560
20/07/2013;São Paulo;Cruzeiro;8ª Rodada;11675
21/07/2013;Vitória;Bahia;8ª Rodada;36996
21/07/2013;Athlético-PR;Corinthians;8ª Rodada;6799
21/07/2013;Santos;Coritiba;8ª Rodada;9577
21/07/2013;Goiás;Portuguesa;8ª Rodada;4853
21/07/2013;Internacional;Flamengo;8ª Rodada;8038
21/07/2013;Fluminense;Vasco;8ª Rodada;34634
24/07/2013;São Paulo;Internacional;12ª Rodada;11675
27/07/2013;Portuguesa;Athlético-PR;9ª Rodada;1458
27/07/2013;Ponte Preta;Santos;9ª Rodada;4407
27/07/2013;Vasco;Criciúma;9ª Rodada;14820
28/07/2013;Flamengo;Botafogo-RJ;9ª Rodada;38853
28/07/2013;Corinthians;São Paulo;9ª Rodada;33336
28/07/2013;Coritiba;Vitória;9ª Rodada;16420
28/07/2013;Bahia;Goiás;9ª Rodada;13491
28/07/2013;Cruzeiro;Atlético-MG;9ª Rodada;35689
28/07/2013;Grêmio;Fluminense;9ª Rodada;28793
28/07/2013;Náutico;Internacional;9ª Rodada;18020
31/07/2013;Portuguesa;Criciúma;10ª Rodada;1244
31/07/2013;Atlético-MG;Athlético-PR;10ª Rodada;14913
31/07/2013;Bahia;Flamengo;10ª Rodada;26033
31/07/2013;Corinthians;Grêmio;10ª Rodada;23849
31/07/2013;Coritiba;Ponte Preta;10ª Rodada;13775
31/07/2013;Fluminense;Cruzeiro;10ª Rodada;13882
01/08/2013;Goiás;Vasco;10ª Rodada;18136
01/08/2013;Botafogo-RJ;Vitória;10ª Rodada;14825
03/08/2013;Cruzeiro;Coritiba;11ª Rodada;25108
04/08/2013;Ponte Preta;Fluminense;11ª Rodada;5942
04/08/2013;Grêmio;Internacional;11ª Rodada;37434
04/08/2013;Athlético-PR;Goiás;11ª Rodada;8883
04/08/2013;Vasco;Botafogo-RJ;11ª Rodada;24979
04/08/2013;Criciúma;Corinthians;11ª Rodada;16796
04/08/2013;Flamengo;Atlético-MG;11ª Rodada;31548
04/08/2013;Vitória;Portuguesa;11ª Rodada;7697
07/08/2013;Atlético-MG;Botafogo-RJ;12ª Rodada;11332
07/08/2013;Santos;Corinthians;12ª Rodada;8120
07/08/2013;Vitória;Fluminense;12ª Rodada;8283
07/08/2013;Flamengo;Portuguesa;12ª Rodada;12511
07/08/2013;Athlético-PR;Bahia;12ª Rodada;8656
07/08/2013;Criciúma;Cruzeiro;12ª Rodada;10870
07/08/2013;Goiás;Náutico;12ª Rodada;5761
08/08/2013;Vasco;Ponte Preta;12ª Rodada;6865
08/08/2013;Grêmio;Coritiba;12ª Rodada;14876
10/08/2013;Náutico;Atlético-MG;13ª Rodada;18513
10/08/2013;Botafogo-RJ;Goiás;13ª Rodada;23322
11/08/2013;Internacional;Athlético-PR;13ª Rodada;8684
